,index,Unnamed: 0,relations,classes,features
454,4,4,"['University of Victoria parent organization University of Victoria', 'Hong Kong different from Hong Kong', 'universities different from universities', 'suspended all classes classes subclass of suspended', 'students return to their home countries subclass of students return to their home countries', 'international students subclass of international students', 'return to their home countries facet of home countries', 'British Columbia country Canada', 'Hong Kong universities located in the administrative territorial entity Hong Kong', 'highly vigilant facet of highly vigilant', '2008 Summer Olympics point in time 2008', 'university parent organization university university', ""St. Paul's Cathedral located in the administrative territorial entity Minneapolis"", 'universities part of universities', 'University of the Philippines headquarters location Manila', '2008 Summer Olympics location Beijing', 'Canada contains administrative territorial entity British Columbia', '2012 Summer Olympics point in time 2012', 'university partners facet of university', 'recall students subclass of recall', 'semester part of semester', 'Global Affairs Canada different from Global Affairs Canada did not respond to', 'semester has part semester', ""St. Paul's Cathedral located in the administrative territorial entity Montreal"", 'recall main subject recall students']",International Politics and Diplomacy,"['international students subclass of international students', 'university partners facet of university', 'universities part of universities', '2012 Summer Olympics point in time 2012', 'universities different from universities', 'Hong Kong universities located in the administrative territorial entity Hong Kong', '2008 Summer Olympics point in time 2008', ""St. Paul's Cathedral located in the administrative territorial entity Minneapolis"", '2008 Summer Olympics location Beijing', 'recall main subject recall students', 'suspended all classes classes subclass of suspended', 'students return to their home countries subclass of students return to their home countries', 'semester part of semester', 'university parent organization university university', 'Global Affairs Canada different from Global Affairs Canada did not respond to', 'semester has part semester', 'Hong Kong different from Hong Kong', 'return to their home countries facet of home countries', ""St. Paul's Cathedral located in the administrative territorial entity Montreal""]"
455,5,5,"['A man instance of man', 'Harvard University subsidiary John F. Kennedy School of Government', 'Hong Kong citizens applies to jurisdiction Hong Kong', 'Positive energy subclass of energy', 'President officeholder Donald Trump', ""clearing of the roadblocks organizer People's People's People's Party"", 'Orange subclass of blue', 'positive energy subclass of energy', 'flag applies to jurisdiction national', 'soldiers headquarters location military camp', 'Nineteen Eighty-Four author George Orwell', 'The reporter subclass of reporter', 'John F. Kennedy position held President', 'Donald Trump position held President', 'hammers subclass of shovels', 'Liberation Army Garrison located in the administrative territorial entity Hong Kong', 'Hil instance of roadblocks', 'George VI spouse Queen Elizabeth II', 'foam box subclass of can', 'Hong Kong ethnic group citizens', 'safe and stable applies to jurisdiction Hong Kong', 'bricks different from stones', 'blue subclass of basketball uniform', 'red plastic subclass of cans', 'Luen Fook Road instance of roadblock', '2016 Summer Olympics point in time 2016', 'Riot police field of work Riot', 'soldiers opposite of citizens', 'violence has effect chaos', 'military camp sport ran', 'Orange subclass of basketball uniform', 'bricks subclass of stones', 'brooms use sweep away debris', 'foam box has part red plastic', ""People's People's Party country People's Republic of China"", 'A man in the instance of roadblock', 'Kowloon Tong part of Kowloon Tong', 'national flag instance of flag pattern', '2012 Summer Olympics point in time 2012', 'shovel different from hammer', 'National Historic Landmark located in the administrative territorial entity Washington, D.C.', 'violence and chaos subclass of chaos']",protest and riot,"['Riot police field of work Riot', 'violence has effect chaos', 'violence and chaos subclass of chaos', 'A man in the instance of roadblock', ""clearing of the roadblocks organizer People's People's People's Party"", 'Hil instance of roadblocks', '2012 Summer Olympics point in time 2012', ""People's People's Party country People's Republic of China"", 'military camp sport ran', 'Luen Fook Road instance of roadblock', 'bricks subclass of stones', 'National Historic Landmark located in the administrative territorial entity Washington, D.C.', 'Positive energy subclass of energy', 'positive energy subclass of energy', 'Orange subclass of basketball uniform', 'soldiers opposite of citizens', 'national flag instance of flag pattern', 'red plastic subclass of cans', 'bricks different from stones']"
456,6,6,"['closure of the instance of traffic news', 'off-site betting different from off-site betting offices', 'MTR owner of East Rail Line Racecourse Station', 'The Daily Show original broadcaster Channel 4', 'Sha Tin Racecourse located in the administrative territorial entity Sha Tin', 'Science Park located in the administrative territorial entity Kowloon Tong', '2004 Summer Olympics point in time 2004', 'Sha Tsui instance of Collect', 'Harvard University subsidiary John F. Kennedy School of Government', 'over-the-border subclass of over-the-country', 'University Station located in the administrative territorial entity Kowloon Tong', 'Tsimim has part Yuen Long', 'over-the-border different from over-the-border', 'Sha Tin Racecourse operator public bus services', 'East Rail F operator East Rail', '2008 Summer Olympics location Beijing', 'Hong Kong Jockey Club Headquarters located in the administrative territorial entity Happy Valley', 'off-off- subclass of off-shoot', 'MTR East Rail Line Racecourse Station connecting line East Rail Line Racecourse Station', 'horse racing practiced by fans', 'off-loading subclass of off-duty', 'Yuen Long located in the administrative territorial entity Yuen Long', 'Sha located in the administrative territorial entity Sha', 'East Rail F instance of F', 'racecourse location racecourse', 'Kwun Tong Plaza located in the administrative territorial entity Tsuen Tsuen', 'Sha Tin Racecourse instance of restricted', 'public transport services facet of public transport', 'the main roads located in the administrative territorial entity Sha', 'East Rail F connecting line East Rail F', 'Tolo Highway different from Tolo Highway', 'Castle Peak Road located in the administrative territorial entity Tsuen Tsuen']",Traffic Accidents,"['closure of the instance of traffic news', 'public transport services facet of public transport', 'racecourse location racecourse', 'the main roads located in the administrative territorial entity Sha', 'Sha Tin Racecourse operator public bus services', 'Tolo Highway different from Tolo Highway', 'off-off- subclass of off-shoot', 'off-loading subclass of off-duty', 'Sha Tsui instance of Collect', 'over-the-border subclass of over-the-country', 'East Rail F connecting line East Rail F', 'Kwun Tong Plaza located in the administrative territorial entity Tsuen Tsuen', 'Science Park located in the administrative territorial entity Kowloon Tong', 'MTR East Rail Line Racecourse Station connecting line East Rail Line Racecourse Station', 'The Daily Show original broadcaster Channel 4', 'Castle Peak Road located in the administrative territorial entity Tsuen Tsuen', 'University Station located in the administrative territorial entity Kowloon Tong', 'Sha Tin Racecourse instance of restricted', 'Sha located in the administrative territorial entity Sha']"
457,7,7,"['Hung Hom Tunnel located in the administrative territorial entity Tai Po', 'Radio Free Asia country Taiwan', 'Chan Zhen-che member of 813', 'Tan Hing Man member of political party Democratic Wong Tai Sin District Councilor', 'Lin Chuen connects with Tai Wo West Branch Road', 'Lin Chuen located in the administrative territorial entity Tai Wo', 'Radio Shack subsidiary Radio Shack Radio', '813 instance of netizens', '2008 Summer Olympics point in time 2008', 'Lam Chuen Valley constituency located in the administrative territorial entity Lam Chuen Valley', 'minibus subclass of car', 'Chen Zhenzhe place of birth Huizhou', 'West Branch Road located in the administrative territorial entity Nanhua Pu', 'Tai Wo Square connects with Tai Wo Plaza', 'Tai located in the administrative territorial entity en', 'Tai Po march located in the administrative territorial entity Tai Po District', 'Chen Zhenzhe work location Jiangsu', 'rural indigenous residents has part Tai Po people', 'Chen Zhenzhe residence Nanhua Pu', 'Tai Po ethnic group Tai Po people', ""Chen Zhenzhe country of citizenship People's Republic of China"", 'District Council applies to jurisdiction Tai Po', 'accounting part of finance', 'Guangfu Estate located in the administrative territorial entity Tai Po', '2017 election point in time 2017', 'middle-aged people opposite of young people']",mass gatherings,"['middle-aged people opposite of young people', '813 instance of netizens', 'accounting part of finance', 'Tai Po march located in the administrative territorial entity Tai Po District', 'Tai Wo Square connects with Tai Wo Plaza', ""Chen Zhenzhe country of citizenship People's Republic of China"", '2008 Summer Olympics point in time 2008', 'Tai Po ethnic group Tai Po people', 'Hung Hom Tunnel located in the administrative territorial entity Tai Po', 'West Branch Road located in the administrative territorial entity Nanhua Pu', 'Lin Chuen located in the administrative territorial entity Tai Wo', 'District Council applies to jurisdiction Tai Po', 'Lin Chuen connects with Tai Wo West Branch Road', 'Guangfu Estate located in the administrative territorial entity Tai Po', 'minibus subclass of car', 'Chen Zhenzhe work location Jiangsu', 'Chen Zhenzhe residence Nanhua Pu', 'Chan Zhen-che member of 813', 'Chen Zhenzhe place of birth Huizhou']"
458,8,8,"['Hung Hom Tunnel located in the administrative territorial entity Tai Po', 'Radio Free Asia country Taiwan', 'Chan Zhen-che member of 813', 'Tan Hing Man member of political party Democratic Wong Tai Sin District Councilor', 'Lin Chuen connects with Tai Wo West Branch Road', 'Lin Chuen located in the administrative territorial entity Tai Wo', 'Radio Shack subsidiary Radio Shack Radio', '813 instance of netizens', '2008 Summer Olympics point in time 2008', 'Lam Chuen Valley constituency located in the administrative territorial entity Lam Chuen Valley', 'minibus subclass of car', 'Chen Zhenzhe place of birth Huizhou', 'West Branch Road located in the administrative territorial entity Nanhua Pu', 'Tai Wo Square connects with Tai Wo Plaza', 'Tai located in the administrative territorial entity en', 'Tai Po march located in the administrative territorial entity Tai Po District', 'Chen Zhenzhe work location Jiangsu', 'rural indigenous residents has part Tai Po people', 'Chen Zhenzhe residence Nanhua Pu', 'Tai Po ethnic group Tai Po people', ""Chen Zhenzhe country of citizenship People's Republic of China"", 'District Council applies to jurisdiction Tai Po', 'accounting part of finance', 'Guangfu Estate located in the administrative territorial entity Tai Po', '2017 election point in time 2017', 'middle-aged people opposite of young people']",mass gatherings,"['middle-aged people opposite of young people', '813 instance of netizens', 'accounting part of finance', 'Tai Po march located in the administrative territorial entity Tai Po District', 'Tai Wo Square connects with Tai Wo Plaza', ""Chen Zhenzhe country of citizenship People's Republic of China"", '2008 Summer Olympics point in time 2008', 'Tai Po ethnic group Tai Po people', 'Hung Hom Tunnel located in the administrative territorial entity Tai Po', 'West Branch Road located in the administrative territorial entity Nanhua Pu', 'Lin Chuen located in the administrative territorial entity Tai Wo', 'District Council applies to jurisdiction Tai Po', 'Lin Chuen connects with Tai Wo West Branch Road', 'Guangfu Estate located in the administrative territorial entity Tai Po', 'minibus subclass of car', 'Chen Zhenzhe work location Jiangsu', 'Chen Zhenzhe residence Nanhua Pu', 'Chan Zhen-che member of 813', 'Chen Zhenzhe place of birth Huizhou']"
459,9,9,"['Phillips 66 location of formation Oklahoma', 'Peking University located in the administrative territorial entity Peking', 'surname different from transliterated surname', 'lithium used by lithium batteries', 'The FBI parent organization FBI', 'US$150 point in time US$150', 'Phillips 66 industry oil company', 'February 12, 2020 point in time February 12, 2020', 'Department of Justice parent organization Department of Justice', 'downstream energy part of market', 'Peking University country China', 'John F. Kennedy position held Secretary of Defense', 'battery technology subclass of technology', 'lithium part of lithium battery', 'sentenced subclass of sentenced', 'Ministry of Justice field of work sentenced', 'battery studied by battery technology research', 'Philip 66 owned by Reuters', 'Philip 66 instance of gas station', 'Department of Justice subsidiary Department of Justice', 'US$150 said to be the same as US$150']",other,"['battery technology subclass of technology', 'sentenced subclass of sentenced', 'Department of Justice subsidiary Department of Justice', 'The FBI parent organization FBI', 'lithium part of lithium battery', 'February 12, 2020 point in time February 12, 2020', 'US$150 point in time US$150', 'lithium used by lithium batteries', 'surname different from transliterated surname', 'battery studied by battery technology research', 'John F. Kennedy position held Secretary of Defense', 'downstream energy part of market', 'US$150 said to be the same as US$150', 'Department of Justice parent organization Department of Justice', 'Ministry of Justice field of work sentenced', 'Peking University country China', 'Peking University located in the administrative territorial entity Peking', 'Philip 66 owned by Reuters', 'Philip 66 instance of gas station']"
460,10,10,"['2008 international financial crisis point in time 2008', 'manage wealth facet of long long long', 'Zhu Yunlai occupation financial professional', 'Economy instance of economy', 'efficient facet of economic', 'Financial Development Council applies to jurisdiction Hong Kong', ""Zhu Yunlai family Zhu Yunlai's economic circle"", 'like said to be the same as poison', 'money used by constantly printing', 'stop different from stop', ""China's financial development country China"", 'Zhu Yunlai father Zhu Yunlai', 'saving everyone opposite of giving out more money', 'September 11 attacks point in time September 11, 2001', 'Zhu Yunlai position held CEO', ""China's financial development is not complete enough country China"", 'poison said to be the same as like', 'efficient instance of economic quagga', 'short term opposite of in the short term', 'short term opposite of long term', 'constantly printing money country China', 'right opposite of wrong', 'Open Up to the world facet of further open up to the world', 'like poison has effect worsen the entire economy', 'Zhu Yunlai field of work efficiency']",Economics and Trade,"['Economy instance of economy', 'efficient facet of economic', ""China's financial development country China"", 'Zhu Yunlai occupation financial professional', 'like poison has effect worsen the entire economy', 'Financial Development Council applies to jurisdiction Hong Kong', 'efficient instance of economic quagga', ""Zhu Yunlai family Zhu Yunlai's economic circle"", 'constantly printing money country China', 'money used by constantly printing', '2008 international financial crisis point in time 2008', 'manage wealth facet of long long long', 'Zhu Yunlai field of work efficiency', ""China's financial development is not complete enough country China"", 'saving everyone opposite of giving out more money', 'Zhu Yunlai position held CEO', 'Open Up to the world facet of further open up to the world', 'like said to be the same as poison', 'poison said to be the same as like']"
461,11,11,"['testing has part monitoring', 'Canadian Security Security Agency follows Canadian Communications Security Agency', 'Canadians in China has effect current deadlock', 'Canadian government country Canadian', 'Canadian government applies to jurisdiction Canadian', 'Huawei product or material produced 5G networks', 'Relations between China and Canada participant Huawei', 'Justin Trudeau officeholder Justin Trudeau', 'Canadians diplomatic relation China', 'Relations between China and Canada country Canada', '2008 Summer Olympics point in time 2008', 'Canada owner of Globe and Mail', 'Meng Wanzhou position held Chief Financial Officer', 'arrest of Huawei participant Huawei', '5G part of 5G', 'testing part of monitoring', 'Canadian Communications Security Agency instance of agencies', 'networks different from networks', '2010 FIFA World Cup point in time 2010']",International Politics and Diplomacy,"['Canadians diplomatic relation China', 'Canadian Communications Security Agency instance of agencies', '2008 Summer Olympics point in time 2008', 'Relations between China and Canada participant Huawei', 'networks different from networks', 'Relations between China and Canada country Canada', 'Justin Trudeau officeholder Justin Trudeau', 'Canadian Security Security Agency follows Canadian Communications Security Agency', 'testing has part monitoring', 'Meng Wanzhou position held Chief Financial Officer', 'testing part of monitoring', 'Canada owner of Globe and Mail', 'Huawei product or material produced 5G networks', '2010 FIFA World Cup point in time 2010', 'Canadian government applies to jurisdiction Canadian', 'arrest of Huawei participant Huawei', 'Canadian government country Canadian', 'Canadians in China has effect current deadlock']"
462,12,12,"['cyber warfare part of electronic warfare', 'Intermediate-Range Nuclear Forces Treaty participant Russia', 'United States member of allies', 'China shares border with North Korea', 'United States instance of region', 'Shinzo Abe position held Japanese Prime Minister', 'Mark Esper position held Secretary of Defense', 'China diplomatic relation North Korea', 'Japan diplomatic relation Korean government', 'US military in South Korea country South Korea', 'GSOMIA country South Korea', 'Dong-A Ilbo country South Korea', 'South Korean government country South Korea', 'GSOMIA has effect validity period', 'United States diplomatic relation South Korea', 'Russia diplomatic relation China', 'US military in South Korea chairperson Robert Abrams', 'Shinzo Abe country of citizenship Japan', 'allies has part United States', 'United States diplomatic relation Japan', 'Miliso position held Chairman of the U.S. Joint Chiefs of Staff', 'US security treaty country United States', 'US military country US', 'withdrawal of the United States and Russia from the Intermediate-Range Nuclear Forces Treaty facet of Intermediate-Range Nuclear Forces Treaty', 'South Korean government applies to jurisdiction South Korea', 'joint defense country Japan', 'Robert Abrams position held commander of the US military in South Korea', 'GSOMIA instance of Military Intelligence Protection Agreement', 'Yonhap News Agency country United States', 'Miliso position held Chairman', 'ROK diplomatic relation Japan']",International Politics and Diplomacy,"['United States diplomatic relation South Korea', 'Russia diplomatic relation China', 'Japan diplomatic relation Korean government', 'China diplomatic relation North Korea', 'United States diplomatic relation Japan', 'Intermediate-Range Nuclear Forces Treaty participant Russia', 'withdrawal of the United States and Russia from the Intermediate-Range Nuclear Forces Treaty facet of Intermediate-Range Nuclear Forces Treaty', 'ROK diplomatic relation Japan', 'United States member of allies', 'South Korean government applies to jurisdiction South Korea', 'Yonhap News Agency country United States', 'South Korean government country South Korea', 'US security treaty country United States', 'Miliso position held Chairman of the U.S. Joint Chiefs of Staff', 'cyber warfare part of electronic warfare', 'China shares border with North Korea', 'Mark Esper position held Secretary of Defense', 'allies has part United States', 'US military in South Korea country South Korea']"
463,13,13,"['retirement savings facet of retirement savings', 'federal applies to jurisdiction federal', 'FRTIBIBIBIBIB different from FRTIBIBIB', 'funds subclass of funds', 'Marco Rubio member of political party Republican', 'MSC owned by MSC', 'Thrift Savings Plan different from Thrift Savings Plan', '$600 billion said to be the same as $600 billion', 'United Technologies replaced by United Technologies Corporation', 'Jeanne Shahe member of political party Democratic', 'investing subclass of investing', 'I investable market index subclass of market index', 'United States instance of countries', 'federal part of federal', 'Jeanne Shahehe member of political party Democratic', 'stupid opposite of unreasonable', 'best interest of the best interest subclass of decisions', 'United States member of countries except the United States', 'unreasonable and stupid opposite of stupid', 'States is a list of States.', 'States subclass of States', 'United States owner of ReutersThrift', 'Republican opposite of Democratic', '$600 billion is a list of $600 billion', 'Rubio member of political party Rubio', 'Thrift Savings Plan instance of investing', 'Thrift Investment Board instance of Investment Board', 'retirement plans in the United United country United States']",other,"['States subclass of States', 'Thrift Savings Plan different from Thrift Savings Plan', 'Republican opposite of Democratic', 'stupid opposite of unreasonable', 'unreasonable and stupid opposite of stupid', 'funds subclass of funds', 'retirement savings facet of retirement savings', 'States is a list of States.', 'federal applies to jurisdiction federal', 'federal part of federal', 'investing subclass of investing', 'United States member of countries except the United States', 'best interest of the best interest subclass of decisions', 'United States instance of countries', 'Thrift Savings Plan instance of investing', 'FRTIBIBIBIBIB different from FRTIBIBIB', 'Rubio member of political party Rubio', 'I investable market index subclass of market index', 'United Technologies replaced by United Technologies Corporation']"
464,14,14,"['trade negotiations facet of trade', 'friendly hospitality facet of Trump', 'Harvard University subsidiary John F. Kennedy School of Government', 'Turkish diplomatic relation United States', 'Trump said he believed Erdogan facet of friendly hospitality', 'trade negotiations participant Trump', 'Syria shares border with Turkey', 'press conference participant Trump', 'Trump said he and Erdogan have been good friends from the beginning facet of Trump said he and Erdogan have been good friends from the beginning', 'massacred Armenians instance of massacred', '20th century point in time 20', 'Kurds country Iraq', 'Kurds country Turkey', 'Syria facet of Syrian issue', 'Trump influenced by Erdogan', 'United States diplomatic relation United Kingdom', 'massacred Armenians participant Ottoman Empire', 'S400 country of origin Russia', '2008 Summer Olympics location Beijing', 'Reuters owner of Reuters News', 'joint press conference instance of press conference', 'joint press conference part of Trump and Erdogan met', 'Russian air defense country Turkey', 'air dialogue subclass of dialogue', 'Trump diplomatic relation Erdogan', 'Syrian issue participant Trump', 'its cooperation country Turkey', 'United States country United States', 'Turkey diplomatic relation Russia', 'John F. Kennedy position held Secretary of State', 'press country Turkey', 'Turkey significant event press', 'press at the press country Turkey', 'Iraq ethnic group Kurds']",International Politics,"['trade negotiations facet of trade', 'United States diplomatic relation United Kingdom', 'joint press conference instance of press conference', '2008 Summer Olympics location Beijing', 'air dialogue subclass of dialogue', 'Turkish diplomatic relation United States', 'Reuters owner of Reuters News', 'Turkey significant event press', 'United States country United States', '20th century point in time 20', 'Syria facet of Syrian issue', 'Harvard University subsidiary John F. Kennedy School of Government', 'trade negotiations participant Trump', 'its cooperation country Turkey', 'Turkey diplomatic relation Russia', 'Kurds country Iraq', 'S400 country of origin Russia', 'press conference participant Trump', 'Trump diplomatic relation Erdogan']"
465,15,15,"[""Wang Qishan notable work Wang Qishan's statement"", 'China disclosed publication date November 7, China disclosed', 'poverty in 2020 point in time 2020', 'Paris Peace Forum country France', 'conflicts between China and the United States participant China', 'tariffs on China country China', 'China located on terrain feature China', 'Donald Trump position held US President', 'rural part of rural', 'lifted out of poverty facet of poverty', 'populism instance of spreading', 'Belt and Road instance of construction', 'gap facet of moon', 'relations with China participant China', 'opening up start time 1978', 'negative list part of business environment', 'China capital Beijing', 'China continent world', 'China country China', 'protectionism opposite of unilateralism', 'called China a liar country China', 'attacked attacked participant Donald Trump', 'China significant event what China thinks and what to do', 'China different from China thinks', 'Wang Qishan country of citizenship China', 'crossroads facet of mankind', 'crossroads said to be the same as mankind has reached a crossroads', 'conflicts participant United States', 'Qishan instance of crossroads', 'Wang Qishan position held Vice President', 'Working alone will not work different from solving the problem', 'trade issues country China', 'history facet of culture', 'China instance of seen and done', 'relations country China', 'Working together country China', 'history has part culture', 'US President officeholder Donald Trump', 'China diplomatic relation United States', 'fentanyl instance of smuggling', 'Working alone different from Working alone will not work', 'protectionism has part unilateralism', 'solving the problem different from Working alone will not work', 'round? said to be the same as round?', 'round? subclass of eaten', 'emotional catharsisisisis instance of catharsis', 'demonstrations in Hong Kong part of Sino-US trade war continues', ""China's development opportunity country China"", 'business environment facet of business', 'United States diplomatic relation China']",International Politics,"['United States diplomatic relation China', 'China diplomatic relation United States', 'China significant event what China thinks and what to do', 'populism instance of spreading', 'China continent world', 'history facet of culture', 'Working together country China', ""China's development opportunity country China"", 'China country China', 'relations country China', 'relations with China participant China', 'crossroads said to be the same as mankind has reached a crossroads', 'trade issues country China', 'crossroads facet of mankind', 'business environment facet of business', 'history has part culture', 'conflicts participant United States', 'China disclosed publication date November 7, China disclosed', 'conflicts between China and the United States participant China']"
466,16,16,"['Chinese military parent organization Pentagon', 'Asia has part China', 'defense ministers chairperson Wei Fenghe', 'Chinese military headquarters location Beijing', 'unilaterally canceled a number of U.S.-China military exchange activities author Shi Chande', 'Trump administration work location Asia', 'Donald Trump position held US President', 'unilaterally canceled country China', 'Seoul country South Korea', 'U.S. policies toward China country U.S.', 'U.S. diplomatic relation Chinese', 'Wei Fenghe father Wei Fenghe', 'Chinese military part of Cooperate', 'Philippines diplomatic relation Thailand', 'Chad Sbragia position held deputy assistant secretary of defense', 'Washington country United States', 'Japan continent Asia', 'Pentagon subsidiary Chinese military', 'China continent Asia', 'South Korea diplomatic relation Japan', 'South Korea contains administrative territorial entity Seoul', 'Chinese military diplomatic relation U.S. military', 'space security subclass of network', 'Pentagon architect Wei Fenghe', 'South Korea diplomatic relation North Korea', 'unilaterally canceled participant China', 'misunderstandings has effect miscalculations', 'relations with South Korea participant Donald Trump', 'Chinese military part of U.S. military', 'Esper position held US Defense Secretary', 'US President officeholder Donald Trump', 'China diplomatic relation United States', 'China diplomatic relation North Korea', 'policies toward China country U.S.', 'defense relations part of U.S.-China', 'network subclass of security', 'United States capital Washington', 'Thailand diplomatic relation Vietnam', 'Chinese military instance of military', 'Chinese military instance of two militaries', 'China shares border with North Korea']",military,"['Chinese military instance of military', 'Chinese military part of U.S. military', 'Chinese military headquarters location Beijing', 'Chinese military part of Cooperate', 'Chinese military instance of two militaries', 'Chinese military diplomatic relation U.S. military', 'defense relations part of U.S.-China', 'Esper position held US Defense Secretary', 'Pentagon subsidiary Chinese military', 'unilaterally canceled a number of U.S.-China military exchange activities author Shi Chande', 'defense ministers chairperson Wei Fenghe', 'space security subclass of network', 'network subclass of security', 'Chinese military parent organization Pentagon', 'Donald Trump position held US President', 'China diplomatic relation United States', 'U.S. diplomatic relation Chinese', 'U.S. policies toward China country U.S.', 'Washington country United States']"
467,17,17,"['lawyers subclass of lawyer', 'was arrested participant 22-year-old foreign man', 'French diplomatic relation foreign', 'Tuen located in the administrative territorial entity Tuen', 'police located on street Hui Street', 'mask ban main subject mask ban', 'German significant event media reported on the 16th', 'Bild country of origin German', 'assembly different from illegal assembly', 'lia subclass of Consulate General', 'clash between police and civilians location Tuen Mun', 'bus stop subclass of bus stop', '2008 Summer Olympics point in time 2008', 'German Consulate General in Hong Kong headquarters location lia lia', 'John F. Kennedy School of Government part of Harvard University', 'consular services use consular services', '14th point in time 14th', 'John F. Kennedy assassination point in time September 11, 2001', 'dispersal operation location Road', 'German instance of media', 'lia located in the administrative territorial entity Hong Kong', 'dispersal operation subclass of dispersal', 'Lingnan University located in the administrative territorial entity Lingnan', 'John F. Kennedy position held President', 'dispersal operation subclass of operation']",protest and riot,"['clash between police and civilians location Tuen Mun', 'police located on street Hui Street', 'was arrested participant 22-year-old foreign man', 'mask ban main subject mask ban', '14th point in time 14th', '2008 Summer Olympics point in time 2008', 'dispersal operation location Road', 'lawyers subclass of lawyer', 'lia located in the administrative territorial entity Hong Kong', 'dispersal operation subclass of operation', 'bus stop subclass of bus stop', 'French diplomatic relation foreign', 'dispersal operation subclass of dispersal', 'German instance of media', 'lia subclass of Consulate General', 'John F. Kennedy assassination point in time September 11, 2001', 'German significant event media reported on the 16th', 'John F. Kennedy School of Government part of Harvard University', 'consular services use consular services']"
468,18,18,"['police force instance of maintain law and maintain law', 'Hong Kong Police College located in the administrative territorial entity Hong Kong', 'Russia contains administrative territorial entity St. Petersburg', 'Peking Opera country China', 'aboveboard subclass of works', 'Government applies to jurisdiction Hong Kong', 'Lu Weicong employer Information Services Department', 'Lo W W position held Commissioner of Police', 'police force has part police', 'Police Service Satisfaction Survey number of participants 84', 'aboveboard facet of aboveboard', 'Police Service Satisfaction Survey main subject Police Service', 'Kong Police applies to jurisdiction Kong Police', 'public different from police', 'Peking University country China', 'Kong Police different from Hong Kong Police', 'a series of incidents has part series of incidents', 'enforce the law subclass of enforce the law fairly and impartially', '2018 point in time 2018', 'Lu Weicong educated at Information Services Department', 'police force field of work maintain law and maintain law', '2018 election point in time 2018', 'violence opposite of order', 'Lu Weichong place of birth Hong Kong', 'enforce the law fairly and impartially subclass of enforce the law']",other,"['a series of incidents has part series of incidents', 'public different from police', 'aboveboard facet of aboveboard', 'violence opposite of order', 'police force has part police', 'Kong Police different from Hong Kong Police', 'aboveboard subclass of works', 'enforce the law fairly and impartially subclass of enforce the law', 'Russia contains administrative territorial entity St. Petersburg', 'enforce the law subclass of enforce the law fairly and impartially', 'Kong Police applies to jurisdiction Kong Police', 'Police Service Satisfaction Survey main subject Police Service', 'police force field of work maintain law and maintain law', 'Peking University country China', 'police force instance of maintain law and maintain law', '2018 point in time 2018', 'Government applies to jurisdiction Hong Kong', '2018 election point in time 2018', 'Police Service Satisfaction Survey number of participants 84']"
469,19,19,"['Zhao Shiyan student of Wang Shouhua', 'Peking University located in the administrative territorial entity Peking', 'Cai Yuanpei educated at Peking University', 'open letter last month author Duan Chongzhi', 'Cai Yuanpei position held principal', 'National Academy of Art located in the administrative territorial entity Hangzhou', 'Haikou located in the administrative territorial entity Hainan Province', 'anti-feudal opposite of anti-imperialist', 'Aberdeen significant event vandalized recently', 'National Conservatory of Music located in the administrative territorial entity Shanghai', 'Cai Yuanpei place of burial tombstone', 'Shaoxing located in the administrative territorial entity Zhejiang', 'Cai Yuanpei place of birth Shaoxing', 'Yuanpei instance of tombstone', 'Sad without tears Weibo pictures creator Cai Yuanpei', 'professor employer Peking University', 'I don’t believe that so many passionate young people will evaporate different from evaporate', 'Ai Ji Wu father Wu', 'vandalized recently location Aberdeen', ""all chaos was controlled by politicians has effect Hong Kong's demonstrators"", 'anti-extradradrad participant Communist Party of China', 'Zhao Shiyan spouse Wang Shouhua', 'demonstrators located in the administrative territorial entity Hong Kong', 'Hong Kong contains administrative territorial entity Shaoxing', 'academic qualifications different from Knowledge', 'Aiji No Tears use Weibo', 'Wu sibling Ai Ji Wu', 'Peking University located in the administrative territorial entity Shaoxing', 'I don’t believe that the heads of so many passionate young people will evaporate instance of evaporate', 'Cai Yuanpei place of death Guangzhou', 'Taiwan Strait country Taiwan', 'Wu child Ai Ji Wu', 'Cai Yuanpei father Cai Yuanpei', 'professor educated at Peking University', 'Cai Yuanpei employer Peking University', 'Duan Chongzhi member of political party Communist Party of China']",foment division,"['Aberdeen significant event vandalized recently', ""all chaos was controlled by politicians has effect Hong Kong's demonstrators"", 'vandalized recently location Aberdeen', 'Yuanpei instance of tombstone', 'demonstrators located in the administrative territorial entity Hong Kong', 'Cai Yuanpei place of burial tombstone', 'academic qualifications different from Knowledge', 'anti-feudal opposite of anti-imperialist', 'Sad without tears Weibo pictures creator Cai Yuanpei', 'I don’t believe that the heads of so many passionate young people will evaporate instance of evaporate', 'I don’t believe that so many passionate young people will evaporate different from evaporate', 'anti-extradradrad participant Communist Party of China', 'Hong Kong contains administrative territorial entity Shaoxing', 'Cai Yuanpei position held principal', 'Aiji No Tears use Weibo', 'Haikou located in the administrative territorial entity Hainan Province', 'professor educated at Peking University', 'Peking University located in the administrative territorial entity Peking', 'Peking University located in the administrative territorial entity Shaoxing']"
